Total,% Total range 80,% Total range 70,Population,location,% Total range 60,date,state,Negative,Negative range 60,Negative range 70,state_negative_range_80,Suspected,Suspected range 60,state_suspected_range_70,state_suspected_range_80,Infected,Infected range 60,Infected range 70,state_infected_range_80,Recovered,Recovered range 60,Recovered range 70,state_recovered_range_80,% Total infected by population,% Total supected by population,% Total recovered by population,% Total negative by population,% Total infected range 60,% Total supected rage 60,% Total recovered rage 60,% Total negative range 60,% Total infected range 70,% Total supected rage 70,% Total recovered rage 70,% Total negative range 70,% Total infected range 80,% Total supected rage 80,% Total recovered rage 80,% Total negative range 80,Susceptible death 60/69 age,Susceptible death 70/79 age,Susceptible death 80 or more age
4339,2.49,6.41,    28002-Ajalvir,"Ajalvir, Madrid",12.70,2020-04-04,62,2.00,1.00,1.00,0.00,3.00,0.00,1.00,0.00,22.00,1.00,5.00,8.00,35.00,4.00,5.00,9.00,0.51,0.07,0.81,0.05,0.02,0.00,0.09,0.02,0.12,0.02,0.12,0.02,0.18,0.00,0.21,0.00,0.02,0.45,1.56
4339,2.49,6.41,    28002-Ajalvir,"Ajalvir, Madrid",12.70,2020-04-05,62,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,15.00,2.00,5.00,3.00,46.00,4.00,6.00,14.00,0.35,0.02,1.06,0.00,0.05,0.00,0.09,0.00,0.12,0.02,0.14,0.00,0.07,0.00,0.32,0.00,0.05,0.45,0.58
224,8.93,20.98,    28003-Alameda del Valle,"Alameda del Valle, Madrid",31.25,2020-03-31,4,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
224,8.93,20.98,    28003-Alameda del Valle,"Alameda del Valle, Madrid",31.25,2020-04-01,4,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.45,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
224,8.93,20.98,    28003-Alameda del Valle,"Alameda del Valle, Madrid",31.25,2020-04-02,4,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.45,0.89,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
224,8.93,20.98,    28003-Alameda del Valle,"Alameda del Valle, Madrid",31.25,2020-04-03,4,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.45,0.45,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
224,8.93,20.98,    28003-Alameda del Valle,"Alameda del Valle, Madrid",31.25,2020-04-04,4,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.45,0.45,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
224,8.93,20.98,    28003-Alameda del Valle,"Alameda del Valle, Madrid",31.25,2020-04-05,4,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.45,0.45,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8929,6.82,12.39,"    28004-Álamo, El","El Álamo, Madrid",20.38,2020-03-31,136,136.00,17.00,11.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.52,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.37,0.00,0.00,0.00
8929,6.82,12.39,"    28004-Álamo, El","El Álamo, Madrid",20.38,2020-04-01,136,52.00,8.00,6.00,14.00,43.00,5.00,0.00,12.00,41.00,4.00,5.00,7.00,0.00,0.00,0.00,0.00,0.46,0.48,0.00,0.58,0.04,0.06,0.00,0.09,0.06,0.00,0.00,0.07,0.08,0.13,0.00,0.16,0.09,0.45,1.36
8929,6.82,12.39,"    28004-Álamo, El","El Álamo, Madrid",20.38,2020-04-02,136,14.00,2.00,2.00,5.00,38.00,6.00,2.00,8.00,65.00,8.00,6.00,17.00,19.00,1.00,1.00,3.00,0.73,0.43,0.21,0.16,0.09,0.07,0.01,0.02,0.07,0.02,0.01,0.02,0.19,0.09,0.03,0.06,0.18,0.53,3.31
8929,6.82,12.39,"    28004-Álamo, El","El Álamo, Madrid",20.38,2020-04-03,136,5.00,1.00,1.00,0.00,17.00,4.00,0.00,4.00,68.00,7.00,7.00,18.00,46.00,5.00,3.00,11.00,0.76,0.19,0.52,0.06,0.08,0.04,0.06,0.01,0.08,0.00,0.03,0.01,0.20,0.04,0.12,0.00,0.16,0.62,3.51
8929,6.82,12.39,"    28004-Álamo, El","El Álamo, Madrid",20.38,2020-04-04,136,2.00,0.00,1.00,0.00,8.00,1.00,0.00,1.00,34.00,6.00,3.00,6.00,92.00,10.00,7.00,26.00,0.38,0.09,1.03,0.02,0.07,0.01,0.11,0.00,0.03,0.00,0.08,0.01,0.07,0.01,0.29,0.00,0.14,0.27,1.17
8929,6.82,12.39,"    28004-Álamo, El","El Álamo, Madrid",20.38,2020-04-05,136,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,22.00,5.00,3.00,3.00,109.00,11.00,8.00,30.00,0.25,0.06,1.22,0.00,0.06,0.01,0.12,0.00,0.03,0.00,0.09,0.00,0.03,0.00,0.34,0.00,0.11,0.27,0.58
200768,3.47,9.50,    28005-Alcalá de Henares,"Alcalá de Henares, Madrid",19.83,2020-03-31,2375,2375.00,315.00,281.00,583.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.29,0.00,0.00,0.00
200768,3.47,9.50,    28005-Alcalá de Henares,"Alcalá de Henares, Madrid",19.83,2020-04-01,2375,804.00,108.00,92.00,193.00,791.00,96.00,92.00,218.00,780.00,111.00,97.00,172.00,0.00,0.00,0.00,0.00,0.39,0.39,0.00,0.40,0.06,0.05,0.00,0.05,0.05,0.05,0.00,0.05,0.09,0.11,0.00,0.10,2.51,8.63,33.54
200768,3.47,9.50,    28005-Alcalá de Henares,"Alcalá de Henares, Madrid",19.83,2020-04-02,2375,264.00,41.00,29.00,60.00,662.00,80.00,86.00,185.00,1072.00,142.00,119.00,253.00,377.00,52.00,47.00,85.00,0.53,0.33,0.19,0.13,0.07,0.04,0.03,0.02,0.06,0.04,0.02,0.01,0.13,0.09,0.04,0.03,3.21,10.59,49.34
200768,3.47,9.50,    28005-Alcalá de Henares,"Alcalá de Henares, Madrid",19.83,2020-04-03,2375,90.00,13.00,5.00,22.00,402.00,56.00,52.00,109.00,977.00,126.00,118.00,245.00,906.00,120.00,106.00,207.00,0.49,0.20,0.45,0.04,0.06,0.03,0.06,0.01,0.06,0.03,0.05,0.00,0.12,0.05,0.10,0.01,2.85,10.50,47.77
200768,3.47,9.50,    28005-Alcalá de Henares,"Alcalá de Henares, Madrid",19.83,2020-04-04,2375,35.00,4.00,3.00,9.00,239.00,31.00,30.00,66.00,723.00,101.00,83.00,183.00,1378.00,179.00,165.00,325.00,0.36,0.12,0.69,0.02,0.05,0.02,0.09,0.00,0.04,0.01,0.08,0.00,0.09,0.03,0.16,0.00,2.28,7.39,35.69
200768,3.47,9.50,    28005-Alcalá de Henares,"Alcalá de Henares, Madrid",19.83,2020-04-05,2375,14.00,1.00,1.00,2.00,114.00,15.00,17.00,31.00,518.00,69.00,64.00,132.00,1729.00,230.00,199.00,418.00,0.26,0.06,0.86,0.01,0.03,0.01,0.11,0.00,0.03,0.01,0.10,0.00,0.07,0.02,0.21,0.00,1.56,5.70,25.74
112188,2.94,8.40,    28006-Alcobendas,"Alcobendas, Madrid",19.29,2020-03-31,1647,1647.00,207.00,203.00,390.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.35,0.00,0.00,0.00
112188,2.94,8.40,    28006-Alcobendas,"Alcobendas, Madrid",19.29,2020-04-01,1647,577.00,65.00,81.00,141.00,544.00,68.00,64.00,122.00,526.00,74.00,58.00,127.00,0.00,0.00,0.00,0.00,0.47,0.48,0.00,0.51,0.07,0.06,0.00,0.06,0.05,0.06,0.00,0.07,0.11,0.11,0.00,0.13,1.67,5.16,24.77
112188,2.94,8.40,    28006-Alcobendas,"Alcobendas, Madrid",19.29,2020-04-02,1647,181.00,13.00,23.00,41.00,460.00,62.00,56.00,101.00,729.00,95.00,95.00,181.00,277.00,37.00,29.00,67.00,0.65,0.41,0.25,0.16,0.08,0.06,0.03,0.01,0.08,0.05,0.03,0.02,0.16,0.09,0.06,0.04,2.15,8.46,35.30
112188,2.94,8.40,    28006-Alcobendas,"Alcobendas, Madrid",19.29,2020-04-03,1647,66.00,3.00,8.00,15.00,296.00,37.00,30.00,72.00,648.00,85.00,86.00,141.00,637.00,82.00,79.00,162.00,0.58,0.26,0.57,0.06,0.08,0.03,0.07,0.00,0.08,0.03,0.07,0.01,0.13,0.06,0.14,0.01,1.92,7.65,27.50
112188,2.94,8.40,    28006-Alcobendas,"Alcobendas, Madrid",19.29,2020-04-04,1647,25.00,2.00,3.00,7.00,168.00,23.00,15.00,42.00,488.00,58.00,62.00,104.00,966.00,124.00,123.00,237.00,0.43,0.15,0.86,0.02,0.05,0.02,0.11,0.00,0.06,0.01,0.11,0.00,0.09,0.04,0.21,0.01,1.31,5.52,20.28
112188,2.94,8.40,    28006-Alcobendas,"Alcobendas, Madrid",19.29,2020-04-05,1647,8.00,1.00,1.00,3.00,89.00,15.00,8.00,24.00,360.00,47.00,45.00,75.00,1190.00,144.00,149.00,288.00,0.32,0.08,1.06,0.01,0.04,0.01,0.13,0.00,0.04,0.01,0.13,0.00,0.07,0.02,0.26,0.00,1.06,4.00,14.62
170336,3.83,12.19,    28007-Alcorcón,"Alcorcón, Madrid",25.23,2020-03-31,2539,2539.00,297.00,291.00,625.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.37,0.00,0.00,0.00
170336,3.83,12.19,    28007-Alcorcón,"Alcorcón, Madrid",25.23,2020-04-01,2539,827.00,100.00,96.00,206.00,829.00,101.00,105.00,206.00,883.00,96.00,90.00,213.00,0.00,0.00,0.00,0.00,0.52,0.49,0.00,0.49,0.06,0.06,0.00,0.06,0.05,0.06,0.00,0.06,0.13,0.12,0.00,0.12,2.17,8.01,41.53
170336,3.83,12.19,    28007-Alcorcón,"Alcorcón, Madrid",25.23,2020-04-02,2539,243.00,26.00,30.00,66.00,721.00,82.00,85.00,185.00,1133.00,141.00,131.00,263.00,442.00,48.00,45.00,111.00,0.67,0.42,0.26,0.14,0.08,0.05,0.03,0.02,0.08,0.05,0.03,0.02,0.15,0.11,0.07,0.04,3.19,11.66,51.28
170336,3.83,12.19,    28007-Alcorcón,"Alcorcón, Madrid",25.23,2020-04-03,2539,70.00,6.00,12.00,21.00,481.00,51.00,49.00,119.00,976.00,113.00,121.00,242.00,1012.00,127.00,109.00,243.00,0.57,0.28,0.59,0.04,0.07,0.03,0.07,0.00,0.07,0.03,0.06,0.01,0.14,0.07,0.14,0.01,2.55,10.77,47.19
170336,3.83,12.19,    28007-Alcorcón,"Alcorcón, Madrid",25.23,2020-04-04,2539,25.00,0.00,2.00,10.00,241.00,25.00,26.00,58.00,793.00,94.00,87.00,207.00,1480.00,178.00,176.00,350.00,0.47,0.14,0.87,0.01,0.06,0.01,0.10,0.00,0.05,0.02,0.10,0.00,0.12,0.03,0.21,0.01,2.12,7.74,40.37
170336,3.83,12.19,    28007-Alcorcón,"Alcorcón, Madrid",25.23,2020-04-05,2539,9.00,0.00,1.00,3.00,124.00,15.00,10.00,33.00,509.00,56.00,56.00,134.00,1897.00,226.00,224.00,455.00,0.30,0.07,1.11,0.01,0.03,0.01,0.13,0.00,0.03,0.01,0.13,0.00,0.08,0.02,0.27,0.00,1.27,4.98,26.13
2528,5.02,11.75,    28008-Aldea del Fresno,"Aldea del Fresno, Madrid",21.36,2020-03-31,48,48.00,10.00,7.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.44,0.00,0.00,0.00
2528,5.02,11.75,    28008-Aldea del Fresno,"Aldea del Fresno, Madrid",21.36,2020-04-01,48,11.00,1.00,2.00,2.00,14.00,4.00,2.00,4.00,23.00,5.00,3.00,5.00,0.00,0.00,0.00,0.00,0.91,0.55,0.00,0.44,0.20,0.16,0.00,0.04,0.12,0.08,0.00,0.08,0.20,0.16,0.00,0.08,0.11,0.27,0.97
2528,5.02,11.75,    28008-Aldea del Fresno,"Aldea del Fresno, Madrid",21.36,2020-04-02,48,4.00,0.00,2.00,1.00,14.00,3.00,1.00,5.00,19.00,5.00,2.00,3.00,11.00,2.00,2.00,2.00,0.75,0.55,0.44,0.16,0.20,0.12,0.08,0.00,0.08,0.04,0.08,0.08,0.12,0.20,0.08,0.04,0.11,0.18,0.58
2528,5.02,11.75,    28008-Aldea del Fresno,"Aldea del Fresno, Madrid",21.36,2020-04-03,48,1.00,0.00,0.00,0.00,6.00,1.00,2.00,2.00,23.00,5.00,2.00,6.00,18.00,4.00,3.00,3.00,0.91,0.24,0.71,0.04,0.20,0.04,0.16,0.00,0.08,0.08,0.12,0.00,0.24,0.08,0.12,0.00,0.11,0.18,1.17
2528,5.02,11.75,    28008-Aldea del Fresno,"Aldea del Fresno, Madrid",21.36,2020-04-04,48,0.00,0.00,0.00,0.00,3.00,0.00,2.00,1.00,15.00,3.00,1.00,3.00,30.00,7.00,4.00,7.00,0.59,0.12,1.19,0.00,0.12,0.00,0.28,0.00,0.04,0.08,0.16,0.00,0.12,0.04,0.28,0.00,0.07,0.09,0.58
2528,5.02,11.75,    28008-Aldea del Fresno,"Aldea del Fresno, Madrid",21.36,2020-04-05,48,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,10.00,2.00,1.00,4.00,37.00,8.00,5.00,7.00,0.40,0.04,1.46,0.00,0.08,0.00,0.32,0.00,0.04,0.04,0.20,0.00,0.16,0.00,0.28,0.00,0.05,0.09,0.78
20102,2.54,6.56,    28009-Algete,"Algete, Madrid",14.16,2020-03-31,394,394.00,56.00,48.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.46,0.00,0.00,0.00
20102,2.54,6.56,    28009-Algete,"Algete, Madrid",14.16,2020-04-01,394,140.00,20.00,20.00,28.00,127.00,17.00,15.00,25.00,127.00,19.00,13.00,39.00,0.00,0.00,0.00,0.00,0.63,0.63,0.00,0.70,0.09,0.08,0.00,0.10,0.06,0.07,0.00,0.10,0.19,0.12,0.00,0.14,0.43,1.16,7.61
20102,2.54,6.56,    28009-Algete,"Algete, Madrid",14.16,2020-04-02,394,44.00,2.00,5.00,11.00,122.00,18.00,16.00,24.00,171.00,29.00,22.00,37.00,57.00,7.00,5.00,20.00,0.85,0.61,0.28,0.22,0.14,0.09,0.03,0.01,0.11,0.08,0.02,0.02,0.18,0.12,0.10,0.05,0.66,1.96,7.21
20102,2.54,6.56,    28009-Algete,"Algete, Madrid",14.16,2020-04-03,394,14.00,1.00,3.00,5.00,68.00,8.00,8.00,9.00,166.00,26.00,18.00,37.00,146.00,21.00,19.00,41.00,0.83,0.34,0.73,0.07,0.13,0.04,0.10,0.00,0.09,0.04,0.09,0.01,0.18,0.04,0.20,0.02,0.59,1.60,7.21
20102,2.54,6.56,    28009-Algete,"Algete, Madrid",14.16,2020-04-04,394,4.00,0.00,1.00,3.00,38.00,6.00,5.00,7.00,124.00,16.00,16.00,19.00,228.00,34.00,26.00,63.00,0.62,0.19,1.13,0.02,0.08,0.03,0.17,0.00,0.08,0.02,0.13,0.00,0.09,0.03,0.31,0.01,0.36,1.42,3.71
20102,2.54,6.56,    28009-Algete,"Algete, Madrid",14.16,2020-04-05,394,0.00,0.00,0.00,0.00,25.00,2.00,5.00,6.00,75.00,11.00,9.00,11.00,294.00,43.00,34.00,75.00,0.37,0.12,1.46,0.00,0.05,0.01,0.21,0.00,0.04,0.02,0.17,0.00,0.05,0.03,0.37,0.00,0.25,0.80,2.15
14005,2.77,7.58,    28010-Alpedrete,"Alpedrete, Madrid",14.77,2020-03-31,218,218.00,23.00,27.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.56,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.39,0.00,0.00,0.00
14005,2.77,7.58,    28010-Alpedrete,"Alpedrete, Madrid",14.77,2020-04-01,218,80.00,12.00,8.00,20.00,74.00,4.00,9.00,19.00,64.00,7.00,10.00,16.00,0.00,0.00,0.00,0.00,0.46,0.53,0.00,0.57,0.05,0.03,0.00,0.09,0.07,0.06,0.00,0.06,0.11,0.14,0.00,0.14,0.16,0.89,3.12
14005,2.77,7.58,    28010-Alpedrete,"Alpedrete, Madrid",14.77,2020-04-02,218,24.00,2.00,2.00,7.00,62.00,4.00,9.00,17.00,93.00,11.00,11.00,21.00,39.00,6.00,5.00,10.00,0.66,0.44,0.28,0.17,0.08,0.03,0.04,0.01,0.08,0.06,0.04,0.01,0.15,0.12,0.07,0.05,0.25,0.98,4.09
14005,2.77,7.58,    28010-Alpedrete,"Alpedrete, Madrid",14.77,2020-04-03,218,11.00,1.00,2.00,4.00,32.00,2.00,5.00,9.00,87.00,10.00,8.00,21.00,88.00,10.00,12.00,21.00,0.62,0.23,0.63,0.08,0.07,0.01,0.07,0.01,0.06,0.04,0.09,0.01,0.15,0.06,0.15,0.03,0.23,0.71,4.09
14005,2.77,7.58,    28010-Alpedrete,"Alpedrete, Madrid",14.77,2020-04-04,218,4.00,0.00,1.00,2.00,21.00,2.00,5.00,5.00,63.00,3.00,4.00,19.00,130.00,18.00,17.00,29.00,0.45,0.15,0.93,0.03,0.02,0.01,0.13,0.00,0.03,0.04,0.12,0.01,0.14,0.04,0.21,0.01,0.07,0.36,3.71
14005,2.77,7.58,    28010-Alpedrete,"Alpedrete, Madrid",14.77,2020-04-05,218,2.00,0.00,0.00,1.00,16.00,1.00,3.00,5.00,40.00,2.00,7.00,9.00,160.00,20.00,17.00,40.00,0.29,0.11,1.14,0.01,0.01,0.01,0.14,0.00,0.05,0.02,0.12,0.00,0.06,0.04,0.29,0.01,0.05,0.62,1.75
607,7.58,18.45,    28011-Ambite,"Ambite, Madrid",25.70,2020-03-31,13,13.00,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.14,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.49,0.00,0.00,0.00
607,7.58,18.45,    28011-Ambite,"Ambite, Madrid",25.70,2020-04-01,13,6.00,0.00,1.00,2.00,4.00,0.00,0.00,0.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.49,0.66,0.00,0.99,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.00,0.33,0.02,0.00,0.20
607,7.58,18.45,    28011-Ambite,"Ambite, Madrid",25.70,2020-04-02,13,0.00,0.00,0.00,0.00,7.00,0.00,1.00,2.00,4.00,1.00,0.00,0.00,2.00,0.00,0.00,1.00,0.66,1.15,0.33,0.00,0.16,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.33,0.16,0.00,0.02,0.00,0.00
607,7.58,18.45,    28011-Ambite,"Ambite, Madrid",25.70,2020-04-03,13,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,5.00,1.00,1.00,2.00,5.00,0.00,0.00,1.00,0.82,0.49,0.82,0.00,0.16,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.33,0.00,0.16,0.00,0.02,0.09,0.39
607,7.58,18.45,    28011-Ambite,"Ambite, Madrid",25.70,2020-04-04,13,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,4.00,1.00,1.00,1.00,7.00,0.00,0.00,2.00,0.66,0.33,1.15,0.00,0.16,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.16,0.00,0.33,0.00,0.02,0.09,0.20
607,7.58,18.45,    28011-Ambite,"Ambite, Madrid",25.70,2020-04-05,13,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,1.00,1.00,0.00,9.00,0.00,0.00,3.00,0.49,0.16,1.48,0.00,0.16,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.02,0.09,0.00
1211,4.29,8.92,    28012-Anchuelo,"Anchuelo, Madrid",16.43,2020-03-31,17,17.00,4.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00
1211,4.29,8.92,    28012-Anchuelo,"Anchuelo, Madrid",16.43,2020-04-01,17,6.00,2.00,0.00,2.00,4.00,1.00,0.00,1.00,7.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.58,0.33,0.00,0.50,0.08,0.08,0.00,0.17,0.00,0.00,0.00,0.00,0.17,0.08,0.00,0.17,0.02,0.00,0.39
1211,4.29,8.92,    28012-Anchuelo,"Anchuelo, Madrid",16.43,2020-04-02,17,2.00,1.00,0.00,0.00,5.00,2.00,0.00,2.00,5.00,0.00,0.00,2.00,5.00,1.00,0.00,1.00,0.41,0.41,0.41,0.17,0.00,0.17,0.08,0.08,0.00,0.00,0.00,0.00,0.17,0.17,0.08,0.00,0.00,0.00,0.39
1211,4.29,8.92,    28012-Anchuelo,"Anchuelo, Madrid",16.43,2020-04-03,17,2.00,1.00,0.00,0.00,4.00,2.00,0.00,2.00,3.00,0.00,0.00,1.00,8.00,1.00,0.00,2.00,0.25,0.33,0.66,0.17,0.00,0.17,0.08,0.08,0.00,0.00,0.00,0.00,0.08,0.17,0.17,0.00,0.00,0.00,0.20
